stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainBlocks.thisRepN,mainBlocks.thisTrialN,mainBlocks.thisN,mainBlocks.thisIndex,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,thisRow.t,notes,trial+rt,,Blank-Fix,Fix_onset_coreTime,Fix_onset_datetime,Blank_onset_coreTime,Blank_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,,SSD_used,feedback_onset_coreTime,feedback_onset_datetime,FixationOnTime,arrowDir,SSD_new,response,rt,correct,trial_num,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,Block1_Trial_onset_coreTime,Block1_Trial_onset_datetime,block_num,Block1_Fuel_onset_coreTime,Block1_Fuel_onset_datetime,participant,session,doPractice,date,coreTime
go,right,0,0,0,1,,,,,,,,,,,25.5450715,-0.00199195,1.587734,22.9580486,2025-03-13_15:23:11.740207,24.5457826,2025-03-13_15:23:13.327737,25.0550501,2025-03-13_15:23:13.836736,0.5092675,0,25.576519,2025-03-13_15:23:14.358735,1.58574205,right,0,right,0.4900214,TRUE,1,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,left,0,1,1,4,,,,,,,,,,,28.6563951,-0.002064604,1.6735539,26.0820644,2025-03-13_15:23:14.864333,27.7556183,2025-03-13_15:23:16.537355,28.2637128,2025-03-13_15:23:17.045981,0.5080945,0,28.692863,2025-03-13_15:23:17.474986,1.671489296,left,0,left,0.3926823,TRUE,2,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,left,0,2,2,0,,,,,,,,,,,31.9764436,-0.003161113,1.7541849,29.200093,2025-03-13_15:23:17.982005,30.9542779,2025-03-13_15:23:19.736572,31.4627486,2025-03-13_15:23:20.244460,0.5084707,0,32.0096839,2025-03-13_15:23:20.791261,1.751023787,left,0,left,0.513695,TRUE,3,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
stop,left,0,3,3,6,,,,,,,,,,,35.263913,-0.004155122,1.8803755,32.5165926,2025-03-13_15:23:21.298272,34.3969681,2025-03-13_15:23:23.179135,34.9034048,2025-03-13_15:23:23.685277,0.5064367,0.2,35.3096329,2025-03-13_15:23:24.091803,1.876220378,left,0.15,left,0.3605082,FALSE,4,35.1262611,2025-03-13_15:23:23.908442,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,right,0,4,4,3,,,,,,,,,,,39.2562378,-0.002687382,2.3379785,35.8156769,2025-03-13_15:23:24.598157,38.1536554,2025-03-13_15:23:26.935798,38.661803,2025-03-13_15:23:27.443902,0.5081476,0,39.2930221,2025-03-13_15:23:28.075335,2.335291118,right,0,right,0.5944348,TRUE,5,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,left,0,5,5,2,,,,,,,,,,,42.9364077,-0.001694326,2.0392733,39.7977305,2025-03-13_15:23:28.579243,41.8370038,2025-03-13_15:23:30.618872,42.3462266,2025-03-13_15:23:31.128448,0.5092228,0,42.9761226,2025-03-13_15:23:31.758338,2.037578974,left,0,left,0.5901811,TRUE,6,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
stop,right,0,6,6,7,,,,,,,,,,,46.3123704,-0.00311282,1.5769955,43.4814045,2025-03-13_15:23:32.263130,45.0584,2025-03-13_15:23:33.840854,45.5679578,2025-03-13_15:23:34.350162,0.5095578,0.15,46.3427537,2025-03-13_15:23:35.124498,1.57388268,right,0.1,right,0.7444126,FALSE,7,45.7429615,2025-03-13_15:23:34.524866,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,right,0,7,7,5,,,,,,,,,,,49.5515285,-0.003198453,1.7034374,46.847946,2025-03-13_15:23:35.630114,48.5513834,2025-03-13_15:23:37.333394,49.0575721,2025-03-13_15:23:37.839637,0.5061887,0,49.5931348,2025-03-13_15:23:38.375178,1.700238947,right,0,right,0.4939564,TRUE,8,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,right,1,0,8,5,,,,,,,,,,,53.2799411,-0.002647746,2.281007,50.0983192,2025-03-13_15:23:38.880201,52.3793262,2025-03-13_15:23:41.161506,52.8863324,2025-03-13_15:23:41.668103,0.5070062,0,53.3264141,2025-03-13_15:23:42.107940,2.278359254,right,0,right,0.3936087,TRUE,9,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
go,right,1,1,9,3,,,,,,,,,,,57.0242253,-0.003431151,2.2720475,53.8321636,2025-03-13_15:23:42.614505,56.1042111,2025-03-13_15:23:44.886071,56.613366,2025-03-13_15:23:45.395098,0.5091549,0,57.0595552,2025-03-13_15:23:45.841901,2.268616349,right,0,right,0.4108593,TRUE,10,,,,,,,,688971,1,TRUE,2025-03-13_152303.934728,1969-12-31_160015.152604
