stopOrGo,arrowDirection,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,mainBlocks.thisRepN,mainBlocks.thisTrialN,mainBlocks.thisN,mainBlocks.thisIndex,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,thisRow.t,notes,PracticeFix_onset_coreTime,PracticeFix_onset_datetime,PracticeTrial_onset_coreTime,PracticeTrial_onset_datetime,PracticeFuel_onset_coreTime,PracticeFuel_onset_datetime,PracticeITI_onset_coreTime,PracticeITI_onset_datetime,arrowDir,SSD_used,response,rt,correct,Block1_Fix_onset_coreTime,Block1_Fix_onset_datetime,Block1_Trial_onset_coreTime,Block1_Trial_onset_datetime,Block1_ITI_onset_coreTime,Block1_ITI_onset_datetime,Block1_Fuel_onset_coreTime,Block1_Fuel_onset_datetime,Block2_Fix_onset_coreTime,Block2_Fix_onset_datetime,Block2_Trial_onset_coreTime,Block2_Trial_onset_datetime,Block2_ITI_onset_coreTime,Block2_ITI_onset_datetime,Block2_Fuel_onset_coreTime,Block2_Fuel_onset_datetime,Block3_Fix_onset_coreTime,Block3_Fix_onset_datetime,Block3_Trial_onset_coreTime,Block3_Trial_onset_datetime,Block3_ITI_onset_coreTime,Block3_ITI_onset_datetime,Block3_Fuel_onset_coreTime,Block3_Fuel_onset_datetime,participant,session,doPractice,
stop,left,0,0,0,6,,,,,,,,,,,14.356928599998355,2025-03-11_14:03:25.949498,17.26201079999737,2025-03-11_14:03:28.855225,17.488326199993026,2025-03-11_14:03:29.081239,18.554802899991046,2025-03-11_14:03:30.148050,left,0.15000000000000002,None,None,False,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,0,1,1,3,,,,,,,,,,,19.330139199999394,2025-03-11_14:03:30.922967,22.242594999988796,2025-03-11_14:03:33.835155,,,22.87165919999825,2025-03-11_14:03:34.464383,right,0,right,0.5906002999981865,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,0,2,2,4,,,,,,,,,,,23.821172700001625,2025-03-11_14:03:35.414413,26.717091699989396,2025-03-11_14:03:38.310168,,,27.22166159999324,2025-03-11_14:03:38.814271,left,0,left,0.45934780000243336,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,0,3,3,2,,,,,,,,,,,27.81419819999428,2025-03-11_14:03:39.407289,30.737255899992306,2025-03-11_14:03:42.330390,,,31.321630199992796,2025-03-11_14:03:42.914227,left,0,left,0.5516290000086883,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,0,4,4,0,,,,,,,,,,,32.24105359999521,2025-03-11_14:03:43.834235,35.09652520000236,2025-03-11_14:03:46.689875,,,35.738365299999714,2025-03-11_14:03:47.331429,left,0,left,0.6080210000072839,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,right,0,5,5,7,,,,,,,,,,,36.2473028999957,2025-03-11_14:03:47.840460,38.268029899991234,2025-03-11_14:03:49.861130,38.43849559999944,2025-03-11_14:03:50.031034,38.85495059999812,2025-03-11_14:03:50.447920,right,0.10000000000000002,right,0.5486185000045225,False,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,0,6,6,1,,,,,,,,,,,39.59536219999427,2025-03-11_14:03:51.188507,42.085542799992254,2025-03-11_14:03:53.678826,,,42.77147939999122,2025-03-11_14:03:54.364185,right,0,right,0.6515710000094259,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,0,7,7,5,,,,,,,,,,,43.56505359998846,2025-03-11_14:03:55.157569,46.558233999996446,2025-03-11_14:03:58.150872,,,47.071733799995854,2025-03-11_14:03:58.664963,right,0,right,0.4828723000100581,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,1,0,8,0,,,,,,,,,,,47.91113269999914,2025-03-11_14:03:59.504099,50.549887699991814,2025-03-11_14:04:02.143087,,,51.12149389999104,2025-03-11_14:04:02.714827,left,0,left,0.5319075000006706,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,1,1,9,2,,,,,,,,,,,51.955462400001124,2025-03-11_14:04:03.548673,54.52090859999589,2025-03-11_14:04:06.114123,,,55.054918499998166,2025-03-11_14:04:06.648113,left,0,left,0.4956858000077773,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,1,2,10,4,,,,,,,,,,,55.64084300000104,2025-03-11_14:04:07.233424,57.660559800002375,2025-03-11_14:04:09.253742,,,58.23856839998916,2025-03-11_14:04:09.831663,left,0,left,0.5326052000018535,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,1,3,11,1,,,,,,,,,,,58.91421899999841,2025-03-11_14:04:10.507492,60.99436529999366,2025-03-11_14:04:12.587447,,,61.53844519999984,2025-03-11_14:04:13.131576,right,0,right,0.5023771999985911,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,left,1,4,12,6,,,,,,,,,,,62.232073199993465,2025-03-11_14:04:13.824683,64.75777789999847,2025-03-11_14:04:16.350168,64.88840159999381,2025-03-11_14:04:16.481183,65.30490239999199,2025-03-11_14:04:16.898156,left,0.05000000000000002,left,0.5060677000001306,False,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
stop,right,1,5,13,7,,,,,,,,,,,65.86489489999076,2025-03-11_14:04:17.458068,67.92441249999683,2025-03-11_14:04:19.517297,68.0049818999978,2025-03-11_14:04:19.598222,69.12156559999858,2025-03-11_14:04:20.714372,right,1.3877787807814457e-17,right,1.1560098999907495,False,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,1,6,14,5,,,,,,,,,,,69.75571219999983,2025-03-11_14:04:21.348944,72.56541419999849,2025-03-11_14:04:24.158237,,,73.43855229999463,2025-03-11_14:04:25.031596,right,0,right,0.8353617999964627,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,right,1,7,15,3,,,,,,,,,,,74.37408209999558,2025-03-11_14:04:25.966494,77.33996079998906,2025-03-11_14:04:28.933105,,,77.95491749999928,2025-03-11_14:04:29.547981,right,0,right,0.5816323000035482,True,,,,,,,,,,,,,,,,,,,,,,,,,neda,001,True,
go,left,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,left,0,None,None,False,85.57493819999218,2025-03-11_14:04:37.167541,88.09233679999306,2025-03-11_14:04:39.685620,89.38876889999665,2025-03-11_14:04:40.981756,,,,,,,,,,,,,,,,,,,neda,001,True,
